,Hugo_Symbol
530,EMILIN1
531,SOX21
532,C21orf128
533,HLCS
534,RP4-583P15.15
535,ADSL
536,ABCA3
537,ANKRD9
538,CELA1
539,CDK7
540,NAPG
541,NUP155
542,TPM1
543,HPS6
544,ROBO2
545,PIM1
546,HBB
547,KCTD18
548,NDUFS4
549,NUDT3
550,PCID2
551,CPD
552,UBE2Q2
553,C16orf98
554,VCX3B
555,SPDYC
556,MMP11
557,ZNF446
558,ABCA7
559,FZR1
560,CLDN20
561,USP46
562,ADAMTS6
563,MAD1L1
564,RNF180
565,CRMP1
566,CCDC175
567,CFDP1
568,ARSE
569,RP11-219B4.6
570,NECAB1
571,DCTN1
572,RAB8A
573,ZNF324
574,FN3K
575,ODC1
576,MUC1
577,PER1
578,TEX10
579,GCSH
580,TRAPPC2
581,AC079210.1
582,SSBP1
583,PPIF
584,MRPS36
585,MST1
586,TDP1
587,LRIG1
588,BAG6
589,RRP9
590,SEC14L3
591,GPR35
592,CD320
593,CNN1
594,C1orf65
595,PLAC1
596,MYCBPAP
597,DICER1
598,TNKS
599,ARNTL2
600,NARFL
601,PPP4R1
602,SLC9C1
603,SND1
604,COMMD9
605,PI3
606,CADPS2
607,PABPC1
608,NR1H2
609,KDM8
610,SDCBP
611,LOXL4
612,HOXC4
613,SLC22A15
614,CHST15
615,ZNF181
616,ZXDB
617,TCOF1
618,IL27
619,FRS2
620,PPP1R12C
621,TNRC6B
622,SYNGR1
623,KCNK17
624,PPP4C
625,CLEC4A
626,SPATA3
627,GAREML
628,PCDHB16
629,ANKDD1A
630,PHF17
631,SLC41A3
632,TTC29
633,NBEAL1
634,NKG7
635,LCE2C
636,IL2RA
637,PARD3B
638,SBP1
639,FAHD2B
640,GRAMD2
641,FAM170A
642,CNGB1
643,C6
644,MFAP1
645,PCYT1B
646,SLIT2
647,EPB41L2
648,MRPS16
649,GPR148
650,ZC3H12B
651,CYP11A1
652,KRTAP10-3
653,NTF3
654,ACOX3
655,EPN1
656,BBS7
657,AUTS2
658,ACP2
659,FAM210B
660,SAYSD1
661,KIAA1024
662,LSM2
663,IQCE
664,ZBTB2
665,COPE
666,PTCHD2
667,NR2F6
668,ADORA3
669,PSMF1
670,KL
671,SYAP1
672,GOLT1A
673,HPR
674,PDIA6
675,ARHGEF9
676,TEX101
677,NEXN
678,SASH3
679,TMEM44
680,POLR2K
681,GPIHBP1
682,SLC25A19
683,UFSP2
684,TERT
685,VAX1
686,ATRNL1
687,OTUD6A
688,ANXA13
689,MXD4
690,ESR2
691,PDSS1
692,INCENP
693,SHROOM3
694,GABRA1
695,HSPA13
696,KDM2A
697,TGFB2
698,KCNK3
699,DPPA3
700,ACTR10
701,ARHGAP10
702,CD2
703,TRIM8
704,MRM1
705,IFT81
706,RPS19BP1
707,CTD-2207O23.12
708,SLTM
709,RAB26
710,MUCL1
711,DLAT
712,PTF1A
713,WDR75
714,C3AR1
715,GALR2
716,WIPF1
717,KRTAP19-3
718,CHERP
719,ZNF622
720,GRIA2
721,IL12RB2
722,PHF16
723,MIS12
724,WFDC2
725,WBP11
726,KNCN
727,TBC1D9
728,MARS
729,TUBA4A
730,NCF1
731,RP11-321F6.1
732,TPK1
733,SLC44A3
734,ZSWIM1
735,PPT1
736,ZNF846
737,MAP3K7CL
738,TMEM230
739,C2orf61
740,F8A3
741,ZRANB2
742,GRIK4
743,DYNLT1
744,AL035252.1
745,JDP2
746,EXOC6B
747,TBC1D16
748,CSAG1
749,GOLGA7
750,KLHL22
751,GCLC
752,RPL41
753,LYPD1
754,VCX
755,HRNR
756,FBXO8
757,SUSD2
758,TP53I3
759,MXRA7
760,ELK3
761,UQCRFS1
762,CCDC79
763,NUBP1
764,ZNF451
765,RAG2
766,GPALPP1
767,C1orf141
768,ADRA1A
769,MMP21
770,APOL2
771,SMG5
772,ZNF573
773,SCIMP
774,PAX6
775,DND1
776,SPEF1
777,EXO1
778,ZNF263
779,CCDC13
780,NCKAP5L
781,NICN1
782,PIK3C2B
783,QSER1
784,ADORA2A
785,P4HA3
786,GOLGA8Q
787,PRDX1
788,PLCH2
789,CHAF1B
790,TMEM165
791,COX6C
792,BUD13
793,CASC10
794,HSD17B11
795,MUS81
796,PHGR1
797,CYP24A1
798,C12orf5
799,PODNL1
800,ERICH2
801,C15orf37
802,RP11-1055B8.6
803,BMP8A
804,FAM105A
805,CBX1
806,DDX55
807,CCZ1B
808,DNAJA2
809,FAM153C
810,ZNF385A
811,MOGAT2
812,KIAA0408
813,NME7
814,TOM1L1
815,CDHR5
816,NR0B1
817,SETDB2
818,C5orf45
819,GYS1
820,C1orf94
821,TPRN
822,TBC1D8
823,DCAF10
824,NCBP1
825,PTCHD1
826,SIRPG
827,E2F6
828,ANK1
829,CFB
830,AP1S2
831,AC105020.1
832,SLC24A1
833,PARD6B
834,NLRP11
835,ZNF396
836,C2orf57
837,GLE1
838,FETUB
839,PYROXD2
840,CNOT6L
841,NPR3
842,ZNF544
843,CRABP2
844,KIAA0922
845,ODAM
846,AC174470.1
847,FDPS
848,SRPX2
849,TMIE
850,TGFBR3
851,LDOC1L
852,RNF216
853,FFAR4
854,DPY19L3
855,GTF2H2C
856,PRRX2
857,DSG4
858,CHRNA1
859,SLC18A2
860,MACF1
861,HEPACAM
862,HELQ
863,PPP1R13B
864,GDE1
865,ZNF596
866,ALMS1
867,MRC1
868,RILPL1
869,TIMP1
870,DHRS7C
871,CLEC4F
872,HOXD11
873,CLIP1
874,FICD
875,C14orf142
876,USP49
877,ARHGAP4
878,STK32C
879,GABRA2
880,MAB21L3
881,XKR8
882,CTD-3203P2.2
883,INSL3
884,SMIM22
885,FAM217B
886,DPRX
887,NAA16
888,ATG2B
889,TSPAN2
890,PIWIL2
891,FTO
892,GATSL1
893,EIF5B
894,TBCD
895,C19orf26
896,SMCO2
897,PPIC
898,SYNPO
899,MB21D2
900,DOHH
901,C1orf233
902,SETD2
903,GRIK3
904,CXADR
905,THEG
906,UGT3A1
907,RP11-298I3.5
908,DNAJC21
909,PON1
910,SRSF5
911,CBX5
912,APIP
913,TREM2
914,MINOS1
915,CMTM3
916,MTMR3
917,AC091801.1
918,CCDC180
919,CTGF
920,LEP
921,RPL37A
922,SUV420H2
923,AC010536.1
924,GPAT2
925,MLIP
926,C5orf28
927,KIAA1715
928,ENPP2
929,BDKRB2
930,GPR75
931,ITGA8
932,TMEM238
933,ZDHHC12
934,TNFAIP1
935,KEL
936,CYB5R1
937,HSPA9
938,TNFRSF13B
939,HAVCR1
940,OVOL2
941,PKMYT1
942,CLDN14
943,FOXA2
944,KRTAP4-5
945,TAPT1
946,NUMA1
947,SIGLEC14
948,RD3
949,NPAS3
950,QRSL1
951,ZNF518B
952,AKAP8L
953,PRKCQ
954,OFCC1
955,MAGT1
956,CNKSR2
957,SEMA3G
958,CNTNAP3B
959,LAMB2
960,TPST1
961,ARRDC2
962,TFAP4
963,PCDHB12
964,CEP192
965,MTA1
966,CLEC4G
967,MRPL45
968,TREX1
969,SLC35E4
970,GAB4
971,GJB7
972,CNKSR1
973,AP000350.10
974,TMEM82
975,PTPN20A
976,ESYT2
977,ACER2
978,ETFDH
979,MED8
980,MSLN
981,NPY2R
982,FMR1
983,EFHC1
984,C19orf35
985,KCNIP1
986,TTC40
987,NDST3
988,NHLH1
989,AP002884.3
990,CCL18
991,HES5
992,SLC35D2
993,HSD17B7
994,C16orf91
995,ADAM23
996,RPA3
997,CCDC127
998,ATP6V1G1
999,SIDT1
1000,UNC119
1001,FAM120B
1002,LRRC52
1003,MT-ND1
1004,GRIA3
1005,C19orf12
1006,ETV1
1007,NAA50
1008,ZNF792
1009,KLHL26
1010,MICA
1011,PCSK7
1012,CD226
1013,ZMAT5
1014,TMEM39A
1015,MFSD2B
1016,PRMT2
1017,GTF2F1
1018,RPL22
1019,GATS
1020,PTPLA
1021,ACADVL
1022,CLDND1
1023,KLHL9
1024,RUNX1
1025,RYBP
1026,CHD4
1027,HKDC1
1028,KHDC1L
1029,FXYD3
1030,MYO6
1031,HTR3C
1032,GBP3
1033,DPP4
1034,ALKBH4
1035,PIH1D2
1036,C12orf77
1037,HEATR4
1038,CDYL
1039,HOXC10
1040,TGIF2
1041,ATP1B4
1042,DEFB126
1043,TES
1044,SLC35B2
1045,USP44
1046,ACYP2
1047,L2HGDH
1048,CCT3
1049,PSMD11
1050,CDH20
1051,ZFP69
1052,TRAIP
1053,RNF25
1054,PNLDC1
1055,PARP3
1056,NPM2
1057,KDM2B
1058,HIBCH
1059,ITPRIP
1060,TMEM129
1061,APOL6
1062,ID4
1063,CHCHD10
1064,GSC
1065,MYO15B
1066,CHTF18
1067,RBM6
1068,C6orf10
1069,CCDC28A
1070,NPIPB5
1071,DAZAP1
1072,IL5
1073,KCNJ3
1074,CUL4A
1075,HLTF
1076,KLF13
1077,TRIM13
1078,TGM3
1079,PKN3
1080,PCBD2
1081,KTN1
1082,PTGES3L-AARSD1
1083,PRRC2A
1084,NBPF3
1085,PTX4
1086,GNAI1
1087,ICK
1088,SNX25
1089,ANP32A
1090,IL36A
1091,MOCS1
1092,C12orf43
1093,GPRASP2
1094,SLC4A2
1095,PITPNM3
1096,NPC2
1097,XPO1
1098,KCNA7
1099,ZNF746
1100,INTS4
1101,KIF23
1102,IL36G
1103,TMEM120B
1104,IQCJ-SCHIP1
1105,FXYD1
1106,LINC00696
1107,C6orf47
1108,RGAG4
1109,TBC1D10A
1110,VPS4A
1111,RWDD2A
1112,AC115618.1
1113,IGSF5
1114,ADTRP
1115,ARMC1
1116,FERMT2
1117,DDX58
1118,DNTTIP2
1119,INTS6
1120,TREX2
1121,PHTF2
1122,EIF1
1123,KLK8
1124,TTC30B
1125,COG7
1126,CCR1
1127,GSTA5
1128,SEC62
1129,LILRA4
1130,ZNF559
1131,ZIC3
1132,GIF
1133,TMC6
1134,RAP1GAP
1135,SCAMP3
1136,MAGEA10
1137,ANKRD52
1138,ESPN
1139,ARL11
1140,CD209
1141,HN1L
1142,CATSPER2
1143,CHST13
1144,RPS6KB2
1145,RORA
1146,ERCC6
1147,PAPLN
1148,LAS1L
1149,RAD54B
1150,CNOT8
1151,FAM117A
1152,ATAD1
1153,CDADC1
1154,GFRA3
1155,PRF1
1156,SLC22A17
1157,PGPEP1L
1158,KRTAP5-8
1159,SLC2A9
1160,SCRT1
1161,OVOL3
1162,PPP1R3C
1163,KRTAP3-3
1164,CREBBP
1165,RPA3-AS1
1166,ATF7IP2
1167,CREBRF
1168,BPIFB3
1169,HVCN1
1170,GPA33
1171,FAM213B
1172,RAD21L1
1173,POPDC2
1174,GLB1L
1175,USP11
1176,KLHL35
1177,SLC23A3
1178,CR1L
1179,PCED1B
1180,GFI1
1181,TCP11L1
1182,GALK2
1183,ABCA5
1184,TMEM105
1185,CTD-3214H19.4
1186,AC010336.1
1187,PLGRKT
1188,BMI1
1189,DARS
1190,LYZL6
1191,RBAK-RBAKDN
1192,NKX6-3
1193,ZNF578
1194,KRTAP1-1
1195,HSPD1
1196,TPRG1L
1197,UBAC2
1198,GALNT15
1199,TSN
1200,IL2RG
1201,SAE1
1202,IRS1
1203,TPR
1204,KIAA1244
1205,LMNA
1206,HPSE
1207,GAS6
1208,AK7
1209,SYT12
1210,ZNF691
1211,GLP2R
1212,CPNE1
1213,KIF22
1214,IVD
1215,TBC1D2
1216,CDRT15
1217,RP11-664I21.6
1218,FOXP2
1219,UXS1
1220,RP11-691N7.6
1221,PRSS50
1222,KIF1A
1223,PLA2G4B
1224,SCGB1D1
1225,MITF
1226,DNAL1
1227,PELP1
1228,GABRE
1229,ST8SIA3
1230,RP11-211G3.3
1231,NEDD1
1232,FAM110D
1233,SH3GL2
1234,EFCC1
1235,ZFP64
1236,RP11-863K10.7
1237,TMEM81
1238,ZNF717
1239,TPX2
1240,TMEM87A
1241,SCAF4
1242,HIST1H2BB
1243,KRT77
1244,EIF1AD
1245,GNG13
1246,PTPN21
1247,PRPF3
1248,ACAD9
1249,INSIG2
1250,AP000304.12
1251,AKNA
1252,GPR110
1253,SYN3
1254,DSG1
1255,ACTL6A
1256,NFATC4
1257,ARHGEF28
1258,TENM4
1259,C16orf93
1260,RNF40
1261,PAK2
1262,CASKIN1
1263,RP11-147C23.1
1264,SPATA32
1265,CYTH3
1266,FBXO15
1267,BTAF1
1268,NUTM2E
1269,PLA2G7
1270,GFM1
1271,COPS5
1272,PGAM5
1273,GPR15
1274,MIEF2
1275,POLR1C
1276,MAGEA12
1277,CLEC2B
1278,OR10Q1
1279,CEP70
1280,NUDT21
1281,NUFIP2
1282,ZNF808
1283,PSCA
1284,ALDH1L1
1285,PRR14
1286,CBLN3
1287,ANKLE1
1288,CDK6
1289,PPFIBP1
1290,SC5D
1291,ZNF334
1292,NKX2-1
1293,EBF1
1294,GRID2
1295,TBC1D15
1296,NDUFAF3
1297,ULK3
1298,DENND1C
1299,RGS5
1300,ACVR1C
1301,HRASLS2
1302,ANKRD42
1303,DDB2
1304,G6PC3
1305,TRIO
1306,MAGEB18
1307,MARCH5
1308,GPC4
1309,AGAP4
1310,RP11-192H23.4
1311,SLC25A17
1312,SLC5A8
1313,TMBIM1
1314,AVPI1
1315,NTRK1
1316,NPR2
1317,WDR18
1318,UEVLD
1319,SUV39H1
1320,CLUH
1321,SLC1A2
1322,CCDC85B
1323,SYT15
1324,LCOR
1325,ACSL1
1326,DRAXIN
1327,SEMA3E
1328,SULT6B1
1329,GNG4
1330,SLC30A6
1331,C5
1332,RGCC
1333,KCNQ1
1334,WBSCR22
1335,FAM27E3
1336,C5orf34
1337,LY6D
1338,TOP3A
1339,SETBP1
1340,MRPS5
1341,DOCK3
1342,PHLDB1
1343,RBBP4
1344,LMBR1
1345,EID2B
1346,MAP1LC3B2
1347,BCL11A
1348,TRIM52
1349,POU2F1
1350,ORMDL2
1351,BAG2
1352,CHMP2B
1353,GLS
1354,DDX25
1355,TTC31
1356,AC016885.1
1357,DZIP3
1358,DCLRE1B
1359,ARHGAP28
1360,ARG2
1361,TMCO6
1362,TAB2
1363,NUP43
1364,C1orf110
1365,ATP13A2
1366,THTPA
1367,GPC2
1368,FABP12
1369,OCEL1
1370,PRTG
1371,ELAVL1
1372,EPYC
1373,PUM1
1374,DDOST
1375,RAP1B
1376,EHBP1
1377,COL14A1
1378,KCNQ3
1379,CASP5
1380,LATS1
1381,CACNB2
1382,LRFN2
1383,NFATC2
1384,CEP72
1385,RARS
1386,DPP8
1387,RP11-766F14.2
1388,TUBD1
1389,NACC2
1390,BRSK2
1391,TMEM190
1392,RAB10
1393,IL25
1394,CSNK2A1
1395,TAS2R14
1396,MLNR
1397,RP1L1
1398,ZNF14
1399,ARHGEF37
1400,CEBPD
1401,APOA1
1402,PYGL
1403,ENHO
1404,CEP250
1405,GORASP2
1406,CACNA1H
1407,SZT2
1408,TRIM49D1
1409,CDKL4
1410,OR51E2
1411,RPL24
1412,SPAG16
1413,GPR27
1414,FEV
1415,SCN8A
1416,COL4A5
1417,KIR3DL3
1418,DOK7
1419,DDX23
1420,NKX6-1
1421,PGAP3
1422,CDK18
1423,TLX1
1424,C11orf16
1425,CHAD
1426,RP11-894J14.5
1427,KDM3B
1428,MTHFD1L
1429,PCDHB3
1430,TTC38
1431,SHISA7
1432,RBFA
1433,C3orf52
1434,ZZEF1
1435,MAPK6
1436,ZNF777
1437,SEPHS2
1438,MAGEA8
1439,NAT16
1440,C5orf55
1441,KCTD10
1442,EBP
1443,ASB4
1444,ZMIZ2
1445,HIST2H4A
1446,RFX5
1447,PHC1
1448,TESK1
1449,WNT6
1450,HOXA9
1451,ZNF221
1452,C19orf54
1453,C1orf200
1454,PDCD7
1455,POM121L7
1456,PWWP2B
1457,ADAMTSL5
1458,MYO9B
1459,PIANP
1460,MASTL
1461,AC023632.1
1462,SMPD4
1463,CYB561A3
1464,DDX18
1465,GRAMD1C
1466,AUH
1467,C1orf56
1468,ACAD10
1469,FAM127B
1470,ADAMTS18
1471,LZTS2
1472,IRG1
1473,MT1E
1474,FAM182B
1475,FMO3
1476,HRH2
1477,NAP1L6
1478,PRR19
1479,MTTP
1480,C1orf63
1481,COL5A3
1482,IL17A
1483,CBWD2
1484,RCL1
1485,SPATA31A6
1486,SBK3
1487,SFRP5
1488,RP11-45M22.4
1489,GRHPR
1490,MCPH1
1491,KNG1
1492,NEGR1
1493,RSF1
1494,SRMS
1495,AMER1
1496,PEX11G
1497,CCDC106
1498,EIF5AL1
1499,PCDHGA4
1500,ZDHHC21
1501,PKD2L2
1502,RGP1
1503,CENPF
1504,YIPF1
1505,FGF5
1506,CSTL1
1507,ASAH2B
1508,PTCD2
1509,ARL4D
1510,MARK3
1511,BANP
1512,GDA
1513,TBX2
1514,MC1R
1515,ANKRD17
1516,PIWIL1
1517,MAOA
1518,C20ORF135
1519,RPAIN
1520,RBMY1J
1521,TDGF1
1522,MGARP
1523,HIST1H1C
1524,NPIPA2
1525,TRAPPC2P1
1526,SCN2A
1527,GUCA1C
1528,TFPI
1529,CIDEA
1530,ZNF852
1531,GJC2
1532,IKZF2
1533,MEST
1534,AGBL1
1535,MAGEB6
1536,NPIPB15
1537,NRM
1538,FRMD4A
1539,EEFSEC
1540,BAZ2B
1541,FTHL17
1542,UNC5C
1543,AC092850.1
1544,KLK10
1545,POLR2B
1546,ZC3H3
1547,CHRFAM7A
1548,TAS1R1
1549,PKD1
1550,ZNF582
1551,ZBED1
1552,C11orf83
1553,TFAP2A
1554,PROL1
1555,SIRT6
1556,NAPA
1557,ARL14EPL
1558,AC079354.1
1559,FJX1
1560,RP11-434D12.1
1561,VDAC3
1562,TPP1
1563,SRSF2
1564,PPIAL4C
1565,SENP8
1566,SFN
1567,FRAS1
1568,RNASE7
1569,CCBL2
1570,SPRR2A
1571,TDG
1572,HIST1H4H
1573,SLC38A6
1574,SMARCE1
1575,GMIP
1576,ADCYAP1R1
1577,KIAA2018
1578,FRG1
1579,DIRAS2
1580,PCMTD1
1581,FANCG
1582,PCDHGC4
1583,KLHL38
1584,SNRNP40
1585,SGK223
1586,GSTM1
1587,EGLN1
1588,RALGPS1
1589,TBC1D3F
1590,OTOS
1591,VCPIP1
1592,NPTX2
1593,CCDC85A
1594,ZSCAN16
1595,FAM21B
1596,GSTO2
1597,ATP13A3
1598,ARSK
1599,ECE1
1600,SPANXN5
1601,GSX2
1602,CENPB
1603,ASIC3
1604,MLLT3
1605,AREGB
1606,CEBPE
1607,HDGFL1
1608,GNG3
1609,HIST1H2AB
1610,BIVM-ERCC5
1611,PTGFRN
1612,PHB2
1613,COL17A1
1614,AP005482.1
1615,RNF103
1616,SLC5A6
1617,STAM2
1618,CNGA4
1619,OCLM
1620,ING1
1621,FAHD1
1622,PLEKHG1
1623,MTMR8
1624,HK1
1625,RWDD1
1626,MCOLN1
1627,SUPT3H
1628,HRH1
1629,TRIOBP
1630,ENPP5
1631,TIGD7
1632,ARL2
1633,NXF1
1634,CTB-102L5.4
1635,PKP1
1636,LAG3
1637,UBE2QL1
1638,PRRT3
1639,AANAT
1640,TMPRSS11D
1641,ANKRD65
1642,RNASEK
1643,C1orf111
1644,ZBTB8B
1645,DKFZP547L112
1646,ACP6
1647,NID2
1648,NDUFB10
1649,DTNB
1650,PTK2
1651,WDR38
1652,C1orf106
1653,ZNF432
1654,NUDT14
