Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9	Topic 10	Topic 11	Topic 12	Topic 13	Topic 14	Topic 15	Topic 16	Topic 17	Topic 18	Topic 19	Topic 20	Topic 21	Topic 22	Topic 23	Topic 24	Topic 25	Topic 26	Topic 27	Topic 28	Topic 29	Topic 30	Topic 31	Topic 32	Topic 33	Topic 34	Topic 35	Topic 36	Topic 37	Topic 38	Topic 39	Topic 40	Topic 41	Topic 42	Topic 43	Topic 44	Topic 45	Topic 46	Topic 47	Topic 48
ENSG00000148604	ENSG00000213022				ENSG00000165583		ENSG00000230778																		ENSG00000188676					ENSG00000188107	ENSG00000224675	ENSG00000148604							ENSG00000167014	ENSG00000111732							
ENSG00000257138	ENSG00000206199				ENSG00000164853		ENSG00000187950																		ENSG00000187545					ENSG00000180219	ENSG00000175664	ENSG00000147488							ENSG00000236424	ENSG00000124196							
ENSG00000126733	ENSG00000276430				ENSG00000166800		ENSG00000171053																		ENSG00000165682					ENSG00000280197	ENSG00000176294	ENSG00000163630							ENSG00000173389	ENSG00000273111							
ENSG00000136267	ENSG00000258713				ENSG00000196468		ENSG00000138472																		ENSG00000129965					ENSG00000152591	ENSG00000204352	ENSG00000105143							ENSG00000131721	ENSG00000271880							
ENSG00000204071	ENSG00000235942				ENSG00000169393		ENSG00000141086																		ENSG00000248050					ENSG00000171054	ENSG00000255980	ENSG00000185742							ENSG00000206260	ENSG00000186038							
ENSG00000144290	ENSG00000186207				ENSG00000123584		ENSG00000172717																		ENSG00000263761					ENSG00000214102	ENSG00000169306	ENSG00000186297							ENSG00000263574	ENSG00000215148							
ENSG00000188778	ENSG00000182261				ENSG00000203972		ENSG00000151838																		ENSG00000168619					ENSG00000256394	ENSG00000145839	ENSG00000185942							ENSG00000175718	ENSG00000203942							
ENSG00000123576	ENSG00000173077				ENSG00000125363		ENSG00000269096																		ENSG00000042781					ENSG00000170790	ENSG00000110887	ENSG00000172568							ENSG00000142538	ENSG00000164393							
ENSG00000231824	ENSG00000166948				ENSG00000204612		ENSG00000239590																		ENSG00000204501					ENSG00000184954	ENSG00000214688	ENSG00000101327							ENSG00000184210	ENSG00000155719							
ENSG00000233670	ENSG00000198178				ENSG00000205899		ENSG00000153165																		ENSG00000180053					ENSG00000188771	ENSG00000180613	ENSG00000101638							ENSG00000181965	ENSG00000279847							
ENSG00000144130	ENSG00000197915				ENSG00000260458		ENSG00000187151																		ENSG00000237700					ENSG00000113525	ENSG00000184302	ENSG00000166573							ENSG00000164729	ENSG00000225899							
ENSG00000166111	ENSG00000115488				ENSG00000213231		ENSG00000166926																		ENSG00000234289					ENSG00000222004	ENSG00000184611	ENSG00000118733							ENSG00000223438	ENSG00000181903							
ENSG00000108231					ENSG00000131738		ENSG00000275895																		ENSG00000165841					ENSG00000205754	ENSG00000239839	ENSG00000206579							ENSG00000069206	ENSG00000239620							
ENSG00000205086					ENSG00000135409		ENSG00000236761																		ENSG00000121446					ENSG00000196772	ENSG00000096395	ENSG00000188730							ENSG00000223638	ENSG00000187550							
ENSG00000173157					ENSG00000141255		ENSG00000222028																		ENSG00000138684					ENSG00000215474	ENSG00000046774	ENSG00000196071							ENSG00000175646	ENSG00000137675							
ENSG00000232258					ENSG00000152822		ENSG00000125498																		ENSG00000204505					ENSG00000188050	ENSG00000160224	ENSG00000126733							ENSG00000162039	ENSG00000231068							
ENSG00000067842					ENSG00000182077		ENSG00000240403																		ENSG00000163217					ENSG00000197437	ENSG00000165509	ENSG00000165643							ENSG00000228927	ENSG00000144671							
ENSG00000178171					ENSG00000231738		ENSG00000151360																		ENSG00000237388					ENSG00000153230	ENSG00000147869	ENSG00000155052							ENSG00000243073	ENSG00000184351							
ENSG00000101292					ENSG00000182393		ENSG00000227729																		ENSG00000280236					ENSG00000231213	ENSG00000226792	ENSG00000144227							ENSG00000137707	ENSG00000109424							
ENSG00000174145					ENSG00000268964		ENSG00000185372																		ENSG00000183185					ENSG00000275572	ENSG00000121570	ENSG00000140015							ENSG00000161973	ENSG00000278500							
ENSG00000015592					ENSG00000117501		ENSG00000164500																		ENSG00000120563					ENSG00000170967	ENSG00000169704	ENSG00000177182							ENSG00000168676	ENSG00000164508							
ENSG00000100678					ENSG00000170484		ENSG00000169194																		ENSG00000182330					ENSG00000197591	ENSG00000203908	ENSG00000102290							ENSG00000189401	ENSG00000101200							
ENSG00000150361					ENSG00000168634		ENSG00000148386																							ENSG00000166363	ENSG00000213401	ENSG00000132975							ENSG00000061492	ENSG00000179270							
ENSG00000077080					ENSG00000182459		ENSG00000166368																							ENSG00000259030	ENSG00000206260	ENSG00000179520							ENSG00000164299	ENSG00000170486							
ENSG00000172209					ENSG00000118492		ENSG00000204480																							ENSG00000168158	ENSG00000069206	ENSG00000089116							ENSG00000173093	ENSG00000160202							
ENSG00000116147					ENSG00000175065		ENSG00000204671																							ENSG00000204961	ENSG00000130182	ENSG00000164100							ENSG00000188056	ENSG00000205864							
ENSG00000168830					ENSG00000197953		ENSG00000176160																							ENSG00000206102	ENSG00000155495	ENSG00000174453							ENSG00000184507	ENSG00000268320							
ENSG00000169618					ENSG00000180999		ENSG00000125900																							ENSG00000241128	ENSG00000185198	ENSG00000156925							ENSG00000164113	ENSG00000130377							
ENSG00000072182					ENSG00000133124		ENSG00000179088																							ENSG00000187475	ENSG00000142182	ENSG00000125813							ENSG00000178732	ENSG00000276289							
ENSG00000166603					ENSG00000257987		ENSG00000253148																							ENSG00000165762	ENSG00000204091	ENSG00000101958							ENSG00000224821	ENSG00000148215							
ENSG00000154997					ENSG00000205212		ENSG00000172404																							ENSG00000168582	ENSG00000227059	ENSG00000174576							ENSG00000204091	ENSG00000188937							
ENSG00000146926					ENSG00000197838		ENSG00000242019																							ENSG00000151577	ENSG00000178732	ENSG00000152595							ENSG00000077800	ENSG00000204897							
ENSG00000261678					ENSG00000197487		ENSG00000237787																							ENSG00000256892		ENSG00000163206							ENSG00000151475	ENSG00000177414							
ENSG00000140015					ENSG00000205864		ENSG00000145975																							ENSG00000203811		ENSG00000173157							ENSG00000184814	ENSG00000180475							
ENSG00000187553					ENSG00000178021		ENSG00000204010																									ENSG00000174343							ENSG00000176679								
ENSG00000102290					ENSG00000183034		ENSG00000189037																									ENSG00000143355							ENSG00000183304								
ENSG00000206579					ENSG00000172901		ENSG00000277150																									ENSG00000114204							ENSG00000165584								
ENSG00000139767					ENSG00000157060		ENSG00000151615																									ENSG00000171540							ENSG00000184560								
ENSG00000163288					ENSG00000171136		ENSG00000277481																									ENSG00000188816							ENSG00000205097								
ENSG00000089169					ENSG00000171402		ENSG00000141748																									ENSG00000167194							ENSG00000275520								
ENSG00000197177					ENSG00000177414		ENSG00000270379																									ENSG00000146910							ENSG00000276380								
ENSG00000281106					ENSG00000221882		ENSG00000236320																									ENSG00000265203							ENSG00000185056								
ENSG00000119283					ENSG00000162624		ENSG00000244623																									ENSG00000174450							ENSG00000185823								
ENSG00000107147					ENSG00000151379		ENSG00000215131																									ENSG00000164438							ENSG00000229549								
ENSG00000146910					ENSG00000171501		ENSG00000121764																									ENSG00000182255							ENSG00000197617								
ENSG00000163285					ENSG00000233436		ENSG00000176510																									ENSG00000215475							ENSG00000214534								
ENSG00000109132					ENSG00000196406		ENSG00000236543																									ENSG00000111305							ENSG00000189167								
ENSG00000142698					ENSG00000106128		ENSG00000143107																									ENSG00000138653							ENSG00000203784								
ENSG00000169676					ENSG00000100121																											ENSG00000180483															
ENSG00000185610					ENSG00000181552																											ENSG00000168412															
ENSG00000196767					ENSG00000226372																											ENSG00000184258															
ENSG00000151812					ENSG00000174576																											ENSG00000160882															
ENSG00000148482					ENSG00000204963																											ENSG00000261667															
ENSG00000152954					ENSG00000124196																											ENSG00000182230															
ENSG00000100987					ENSG00000131951																											ENSG00000217236															
ENSG00000198570					ENSG00000183324																											ENSG00000162456															
ENSG00000106341					ENSG00000239605																											ENSG00000147246															
ENSG00000165566					ENSG00000248109																											ENSG00000074771															
ENSG00000273238					ENSG00000151033																											ENSG00000125492															
ENSG00000188674					ENSG00000108702																											ENSG00000138136															
ENSG00000182447					ENSG00000150244																											ENSG00000268964															
ENSG00000108825					ENSG00000102104																											ENSG00000137270															
ENSG00000166573					ENSG00000152936																											ENSG00000175077															
ENSG00000215397					ENSG00000106410																											ENSG00000106128															
ENSG00000149488					ENSG00000232125																											ENSG00000178722															
ENSG00000273274					ENSG00000164393																											ENSG00000120937															
ENSG00000224675					ENSG00000137270																											ENSG00000162761															
ENSG00000022355					ENSG00000183709																											ENSG00000136931															
ENSG00000013293					ENSG00000177468																											ENSG00000172689															
ENSG00000168348					ENSG00000178084																											ENSG00000198547															
ENSG00000166862					ENSG00000170935																											ENSG00000176136															
ENSG00000169840					ENSG00000171804																											ENSG00000141255															
ENSG00000186487					ENSG00000171405																											ENSG00000152592															
ENSG00000136297					ENSG00000144015																											ENSG00000187772															
ENSG00000149635					ENSG00000081148																											ENSG00000196096															
ENSG00000135973					ENSG00000137252																											ENSG00000188869															
ENSG00000152595					ENSG00000174325																											ENSG00000166800															
ENSG00000265203					ENSG00000172689																											ENSG00000124157															
ENSG00000172568					ENSG00000008197																											ENSG00000165970															
ENSG00000119973					ENSG00000180509																											ENSG00000166664															
ENSG00000181215					ENSG00000212899																											ENSG00000182698															
ENSG00000183090					ENSG00000186075																											ENSG00000235711															
ENSG00000258873					ENSG00000163254																											ENSG00000166558															
ENSG00000172967					ENSG00000106436																											ENSG00000184895															
ENSG00000239389					ENSG00000197123																											ENSG00000241233															
ENSG00000162728					ENSG00000204909																											ENSG00000215474															
ENSG00000182631					ENSG00000006659																											ENSG00000106648															
ENSG00000074771					ENSG00000125084																											ENSG00000107187															
ENSG00000196096					ENSG00000169836																											ENSG00000281106															
ENSG00000205810					ENSG00000170374																											ENSG00000168124															
ENSG00000171540					ENSG00000228836																											ENSG00000143595															
ENSG00000123307					ENSG00000104827																											ENSG00000250821															
					ENSG00000182187																											ENSG00000188000															
					ENSG00000197753																											ENSG00000102104															
					ENSG00000170486																											ENSG00000197753															
					ENSG00000204290																											ENSG00000259224															
					ENSG00000144010																											ENSG00000081148															
					ENSG00000163206																											ENSG00000204963															
					ENSG00000182898																											ENSG00000177551															
					ENSG00000137674																											ENSG00000124557															
					ENSG00000127362																											ENSG00000156150															
					ENSG00000188219																											ENSG00000112238															
					ENSG00000135443																											ENSG00000204965															
					ENSG00000173673																											ENSG00000146618															
					ENSG00000161609																											ENSG00000215009															
					ENSG00000226397																											ENSG00000231738															
					ENSG00000158748																											ENSG00000244020															
					ENSG00000142025																											ENSG00000218305															
					ENSG00000144771																											ENSG00000122375															
					ENSG00000075429																											ENSG00000185231															
					ENSG00000230601																											ENSG00000113262															
					ENSG00000135222																											ENSG00000196468															
					ENSG00000101200																											ENSG00000139053															
					ENSG00000125861																											ENSG00000188162															
					ENSG00000143032																											ENSG00000182077															
					ENSG00000170178																											ENSG00000204961															
					ENSG00000197826																											ENSG00000170044															
					ENSG00000096264																											ENSG00000204657															
					ENSG00000171487																											ENSG00000179142															
					ENSG00000178522																											ENSG00000160505															
					ENSG00000124610																											ENSG00000163530															
					ENSG00000197110																											ENSG00000148704															
					ENSG00000179817																											ENSG00000176040															
					ENSG00000182230																											ENSG00000187243															
					ENSG00000168124																											ENSG00000233932															
					ENSG00000164794																											ENSG00000069018															
					ENSG00000184895																											ENSG00000172967															
					ENSG00000255298																											ENSG00000183324															
					ENSG00000183921																											ENSG00000166329															
					ENSG00000132915																											ENSG00000154545															
					ENSG00000188000																											ENSG00000186367															
					ENSG00000183862																											ENSG00000152936															
					ENSG00000264424																											ENSG00000197487															
					ENSG00000139610																											ENSG00000182459															
					ENSG00000253831																											ENSG00000183559															
					ENSG00000279847																											ENSG00000151812															
					ENSG00000205022																											ENSG00000269466															
					ENSG00000142511																											ENSG00000151577															
					ENSG00000186912																											ENSG00000149133															
					ENSG00000251655																											ENSG00000197123															
					ENSG00000134640																											ENSG00000203663															
					ENSG00000197241																											ENSG00000154997															
					ENSG00000167531																											ENSG00000183560															
					ENSG00000171505																											ENSG00000172752															
					ENSG00000134438																											ENSG00000135222															
					ENSG00000271880																											ENSG00000139610															
					ENSG00000197416																											ENSG00000185897															
					ENSG00000213892																											ENSG00000163646															
					ENSG00000154438																											ENSG00000185792															
					ENSG00000189299																											ENSG00000204025															
					ENSG00000274209																											ENSG00000158077															
					ENSG00000111049																											ENSG00000187533															
					ENSG00000168594																											ENSG00000213892															
					ENSG00000230246																											ENSG00000214285															
					ENSG00000204086																											ENSG00000214513															
					ENSG00000150783																											ENSG00000203811															
					ENSG00000137675																											ENSG00000203756															
					ENSG00000185304																											ENSG00000203737															
					ENSG00000196166																											ENSG00000165370															
					ENSG00000107187																											ENSG00000219435															
					ENSG00000118245																											ENSG00000125084															
					ENSG00000116996																											ENSG00000221957															
					ENSG00000134571																											ENSG00000165762															
					ENSG00000215529																											ENSG00000124227															
					ENSG00000147432																											ENSG00000135409															
					ENSG00000180116																											ENSG00000091010															
					ENSG00000196800																											ENSG00000100565															
					ENSG00000109851																											ENSG00000102195															
					ENSG00000130656																											ENSG00000168582															
					ENSG00000218819																											ENSG00000179817															
					ENSG00000215864																											ENSG00000108702															
					ENSG00000187144																											ENSG00000178586															
					ENSG00000130711																											ENSG00000169836															
					ENSG00000186038																											ENSG00000171501															
					ENSG00000125533																											ENSG00000170820															
					ENSG00000180988																											ENSG00000256892															
					ENSG00000121335																											ENSG00000181752															
					ENSG00000104237																																										
					ENSG00000198765																																										
					ENSG00000146047																																										
					ENSG00000162753																																										
					ENSG00000129221																																										
					ENSG00000268320																																										
					ENSG00000160882																																										
					ENSG00000174914																																										
					ENSG00000249715																																										
					ENSG00000198010																																										
					ENSG00000176136																																										
					ENSG00000257008																																										
					ENSG00000244020																																										
					ENSG00000103310																																										
					ENSG00000214842																																										
					ENSG00000171360																																										
					ENSG00000203963																																										
					ENSG00000091010																																										
					ENSG00000104848																																										
					ENSG00000164871																																										
					ENSG00000188958																																										
					ENSG00000205186																																										
					ENSG00000179600																																										
					ENSG00000188425																																										
					ENSG00000212900																																										
					ENSG00000122375																																										
					ENSG00000100565																																										
					ENSG00000118972																																										
					ENSG00000173626																																										
					ENSG00000173908																																										
					ENSG00000250803																																										
					ENSG00000157654																																										
					ENSG00000186103																																										
					ENSG00000185758																																										
					ENSG00000182591																																										
					ENSG00000204897																																										
					ENSG00000184471																																										
					ENSG00000232939																																										
					ENSG00000179142																																										
					ENSG00000264717																																										
					ENSG00000183560																																										
					ENSG00000177462																																										
					ENSG00000180305																																										
					ENSG00000272514																																										
					ENSG00000168930																																										
					ENSG00000188984																																										
					ENSG00000185231																																										
					ENSG00000113100																																										
					ENSG00000102794																																										
					ENSG00000196433																																										
					ENSG00000147613																																										
					ENSG00000138483																																										
					ENSG00000273111																																										
					ENSG00000269699																																										
					ENSG00000205678																																										
					ENSG00000221826																																										
					ENSG00000204025																																										
					ENSG00000116726																																										
					ENSG00000213218																																										
					ENSG00000187753																																										
					ENSG00000204022																																										
					ENSG00000136275																																										
					ENSG00000136487																																										
					ENSG00000114349																																										
					ENSG00000114124																																										
					ENSG00000203910																																										
					ENSG00000212722																																										
					ENSG00000185888																																										
					ENSG00000185897																																										
					ENSG00000215274																																										
					ENSG00000187806																																										
					ENSG00000242221																																										
					ENSG00000112116																																										
					ENSG00000249481																																										
					ENSG00000163646																																										
					ENSG00000205111																																										
					ENSG00000170279																																										
					ENSG00000155719																																										
					ENSG00000132671																																										
					ENSG00000182223																																										
					ENSG00000176198																																										
					ENSG00000196156																																										
					ENSG00000156575																																										
					ENSG00000205018																																										
					ENSG00000249139																																										
					ENSG00000124089																																										
					ENSG00000263201																																										
					ENSG00000170925																																										
					ENSG00000173572																																										
					ENSG00000254636																																										
					ENSG00000186714																																										
					ENSG00000255359																																										
					ENSG00000162592																																										
					ENSG00000171931																																										
					ENSG00000171773																																										
					ENSG00000162843																																										
					ENSG00000259384																																										
					ENSG00000261480																																										
					ENSG00000241595																																										
					ENSG00000241322																																										
					ENSG00000189030																																										
					ENSG00000205174																																										
					ENSG00000182053																																										
					ENSG00000185958																																										
					ENSG00000185960																																										
					ENSG00000224613																																										
					ENSG00000181616																																										
					ENSG00000165970																																										
					ENSG00000134588																																										
					ENSG00000165623																																										
					ENSG00000109471																																										
					ENSG00000276289																																										
					ENSG00000180083																																										
					ENSG00000198798																																										
					ENSG00000168148																																										
					ENSG00000125815																																										
					ENSG00000274183																																										
					ENSG00000152430																																										
					ENSG00000178395																																										
					ENSG00000105507																																										
					ENSG00000154143																																										
					ENSG00000125888																																										
					ENSG00000240224																																										
					ENSG00000131264																																										
					ENSG00000204595																																										
					ENSG00000186977																																										
					ENSG00000204300																																										
					ENSG00000186860																																										
					ENSG00000121853																																										
					ENSG00000204965																																										
					ENSG00000139648																																										
					ENSG00000136834																																										
					ENSG00000205359																																										
					ENSG00000204279																																										
					ENSG00000205442																																										
					ENSG00000185899																																										
					ENSG00000187747																																										
					ENSG00000204183																																										
					ENSG00000120289																																										
					ENSG00000130377																																										
					ENSG00000188909																																										
					ENSG00000143105																																										
					ENSG00000197683																																										
					ENSG00000240021																																										
					ENSG00000198390																																										
					ENSG00000185177																																										
					ENSG00000240871																																										
					ENSG00000241598																																										
					ENSG00000155026																																										
					ENSG00000101446																																										
					ENSG00000248546																																										
					ENSG00000174876																																										
					ENSG00000160202																																										
					ENSG00000172938																																										
					ENSG00000172640																																										
					ENSG00000172362																																										
					ENSG00000261210																																										
					ENSG00000198547																																										
					ENSG00000196570																																										
					ENSG00000163424																																										
					ENSG00000268223																																										
					ENSG00000163705																																										
					ENSG00000169214																																										
					ENSG00000131068																																										
					ENSG00000064835																																										
					ENSG00000274749																																										
					ENSG00000167791																																										
					ENSG00000165204																																										
					ENSG00000276950																																										
					ENSG00000197079																																										
					ENSG00000166090																																										
					ENSG00000177689																																										
					ENSG00000204449																																										
					ENSG00000178997																																										
					ENSG00000125492																																										
					ENSG00000184389																																										
					ENSG00000184032																																										
					ENSG00000214513																																										
					ENSG00000214518																																										
					ENSG00000214978																																										
					ENSG00000183206																																										
					ENSG00000215545																																										
					ENSG00000148215																																										
					ENSG00000223614																																										
					ENSG00000181733																																										
					ENSG00000188334																																										
					ENSG00000203663																																										
					ENSG00000179213																																										
					ENSG00000179270																																										
					ENSG00000150676																																										
					ENSG00000179709																																										
					ENSG00000180090																																										
					ENSG00000109158																																										
					ENSG00000196266																																										
					ENSG00000189090																																										
					ENSG00000187857																																										
					ENSG00000130385																																										
					ENSG00000187272																																										
					ENSG00000187980																																										
					ENSG00000135569																																										
					ENSG00000188120																																										
					ENSG00000189152																																										
					ENSG00000135175																																										
					ENSG00000136939																																										
					ENSG00000196689																																										
					ENSG00000131379																																										
					ENSG00000188324																																										
					ENSG00000196119																																										
					ENSG00000188782																																										
					ENSG00000188388																																										
					ENSG00000188558																																										
					ENSG00000188691																																										
					ENSG00000196289																																										
					ENSG00000188991																																										
					ENSG00000176239																																										
					ENSG00000187238																																										
					ENSG00000187175																																										
					ENSG00000157093																																										
					ENSG00000175398																																										
					ENSG00000175514																																										
					ENSG00000175728																																										
					ENSG00000155890																																										
					ENSG00000176200																																										
					ENSG00000155833																																										
					ENSG00000176774																																										
					ENSG00000176787																																										
					ENSG00000176893																																										
					ENSG00000177047																																										
					ENSG00000177143																																										
					ENSG00000177174																																										
					ENSG00000154485																																										
					ENSG00000177476																																										
					ENSG00000177504																																										
					ENSG00000177535																																										
					ENSG00000177673																																										
					ENSG00000177710																																										
					ENSG00000177947																																										
					ENSG00000177992																																										
					ENSG00000178722																																										
					ENSG00000178928																																										
					ENSG00000179055																																										
					ENSG00000152093																																										
					ENSG00000174957																																										
					ENSG00000174255																																										
					ENSG00000161594																																										
					ENSG00000170683																																										
					ENSG00000165972																																										
					ENSG00000166930																																										
					ENSG00000167139																																										
					ENSG00000167633																																										
					ENSG00000165202																																										
					ENSG00000165120																																										
					ENSG00000168454																																										
					ENSG00000168828																																										
					ENSG00000164304																																										
					ENSG00000163982																																										
					ENSG00000170289																																										
					ENSG00000170820																																										
					ENSG00000161850																																										
					ENSG00000170923																																										
					ENSG00000170929																																										
					ENSG00000170948																																										
					ENSG00000170950																																										
					ENSG00000171060																																										
					ENSG00000171396																																										
					ENSG00000171459																																										
					ENSG00000171855																																										
					ENSG00000171987																																										
					ENSG00000172365																																										
					ENSG00000172464																																										
					ENSG00000179165																																										
					ENSG00000179172																																										
					ENSG00000179468																																										
					ENSG00000186136																																										
					ENSG00000184345																																										
					ENSG00000144962																																										
					ENSG00000144671																																										
					ENSG00000184698																																										
					ENSG00000184724																																										
					ENSG00000184933																																										
					ENSG00000185040																																										
					ENSG00000185313																																										
					ENSG00000142163																																										
					ENSG00000186049																																										
					ENSG00000186090																																										
					ENSG00000186143																																										
					ENSG00000184276																																										
					ENSG00000186306																																										
					ENSG00000186393																																										
					ENSG00000186562																																										
					ENSG00000139151																																										
					ENSG00000138813																																										
					ENSG00000186925																																										
					ENSG00000186967																																										
					ENSG00000186971																																										
					ENSG00000187026																																										
					ENSG00000187033																																										
					ENSG00000187166																																										
					ENSG00000184321																																										
					ENSG00000184155																																										
					ENSG00000179695																																										
					ENSG00000149507																																										
					ENSG00000180043																																										
					ENSG00000151005																																										
					ENSG00000180475																																										
					ENSG00000180697																																										
					ENSG00000180919																																										
					ENSG00000180974																																										
					ENSG00000181001																																										
					ENSG00000181009																																										
					ENSG00000181023																																										
					ENSG00000149646																																										
					ENSG00000196862																																										
					ENSG00000181767																																										
					ENSG00000184108																																										
					ENSG00000181803																																										
					ENSG00000181867																																										
					ENSG00000181903																																										
					ENSG00000181961																																										
					ENSG00000182070																																										
					ENSG00000182613																																										
					ENSG00000182634																																										
					ENSG00000147183																																										
					ENSG00000183318																																										
					ENSG00000183640																																										
					ENSG00000183695																																										
					ENSG00000181371																																										
					ENSG00000134489																																										
					ENSG00000106648																																										
					ENSG00000205439																																										
					ENSG00000244362																																										
					ENSG00000221880																																										
					ENSG00000101890																																										
					ENSG00000221888																																										
					ENSG00000214866																																										
					ENSG00000214819																																										
					ENSG00000205328																																										
					ENSG00000269897																																										
					ENSG00000214681																																										
					ENSG00000244025																																										
					ENSG00000222036																																										
					ENSG00000243772																																										
					ENSG00000223443																																										
					ENSG00000205409																																										
					ENSG00000270898																																										
					ENSG00000203730																																										
					ENSG00000271079																																										
					ENSG00000223601																																										
					ENSG00000258083																																										
					ENSG00000203989																																										
					ENSG00000069018																																										
					ENSG00000203923																																										
					ENSG00000214360																																										
					ENSG00000124818																																										
					ENSG00000068781																																										
					ENSG00000243130																																										
					ENSG00000205669																																										
					ENSG00000120329																																										
					ENSG00000088782																																										
					ENSG00000203757																																										
					ENSG00000250298																																										
					ENSG00000244537																																										
					ENSG00000218305																																										
					ENSG00000204345																																										
					ENSG00000249581																																										
					ENSG00000204887																																										
					ENSG00000204880																																										
					ENSG00000204873																																										
					ENSG00000204694																																										
					ENSG00000204687																																										
					ENSG00000204661																																										
					ENSG00000204657																																										
					ENSG00000263715																																										
					ENSG00000248385																																										
					ENSG00000214946																																										
					ENSG00000204518																																										
					ENSG00000249693																																										
					ENSG00000113262																																										
					ENSG00000249860																																										
					ENSG00000244624																																										
					ENSG00000266560																																										
					ENSG00000267465																																										
					ENSG00000260660																																										
					ENSG00000204479																																										
					ENSG00000204446																																										
					ENSG00000215547																																										
					ENSG00000268629																																										
					ENSG00000214940																																										
					ENSG00000204414																																										
					ENSG00000260286																																										
					ENSG00000268651																																										
					ENSG00000123594																																										
					ENSG00000249961																																										
					ENSG00000104499																																										
					ENSG00000243062																																										
					ENSG00000204913																																										
					ENSG00000214285																																										
					ENSG00000212657																																										
					ENSG00000105428																																										
					ENSG00000198104																																										
					ENSG00000277932																																										
					ENSG00000128250																																										
					ENSG00000198090																																										
					ENSG00000198083																																										
					ENSG00000233701																																										
					ENSG00000229373																																										
					ENSG00000236858																																										
					ENSG00000255393																																										
					ENSG00000228075																																										
					ENSG00000106328																																										
					ENSG00000197734																																										
					ENSG00000206150																																										
					ENSG00000237452																																										
					ENSG00000127318																																										
					ENSG00000253548																																										
					ENSG00000255181																																										
					ENSG00000232268																																										
					ENSG00000197919																																										
					ENSG00000213416																																										
					ENSG00000212938																																										
					ENSG00000213417																																										
					ENSG00000206043																																										
					ENSG00000126251																																										
					ENSG00000196944																																										
					ENSG00000203664																																										
					ENSG00000225180																																										
					ENSG00000235608																																										
					ENSG00000235268																																										
					ENSG00000225781																																										
					ENSG00000274274																																										
					ENSG00000235118																																										
					ENSG00000214216																																										
					ENSG00000250821																																										
					ENSG00000234469																																										
					ENSG00000111241																																										
					ENSG00000236446																																										
					ENSG00000226430																																										
					ENSG00000226807																																										
					ENSG00000239732																																										
					ENSG00000212725																																										
					ENSG00000212721																																										
					ENSG00000206026																																										
